127.0.0.1 - - [26/Sep/2022:21:37:51 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:31:17 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:31:19 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:31:21 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=aryan&datetime=2022-09-09T03:23 HTTP/1.1" 500 108
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:31:47 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:31:49 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:31:51 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:31:52 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=aryan&datetime=2022-09-09T03:23 HTTP/1.1" 500 108
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:32:34 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:32:34 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:32:35 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:32:36 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=aryan&datetime=2022-09-09T03:23 HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:33:38 +0530] "GET /ServiceProvider/SearchProvider.jsp?sertype=Plumber&area=Vijay+Nagar HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:33:42 +0530] "GET /ServiceProvider/SearchProvider.jsp?sertype=Plumber&area=Geeta+Bhawan HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:33:50 +0530] "GET /ServiceProvider/BookProvider.jsp?providerEmail=sahaj%40gmail.com&dt=2022-09-06T01%3A35 HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:34:00 +0530] "GET /ServiceProvider/SearchProvider.jsp?sertype=Mechanic&area=Rajendra+Nagar HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:34:03 +0530] "GET /ServiceProvider/SearchProvider.jsp?sertype=Mechanic&area=Vijay+Nagar HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:34:07 +0530] "GET /ServiceProvider/SearchProvider.jsp?sertype=Mechanic&area=L.I.G HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:34:10 +0530] "GET /ServiceProvider/SearchProvider.jsp?sertype=Mechanic&area=Bangali HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:34:13 +0530] "GET /ServiceProvider/SearchProvider.jsp?sertype=Mechanic&area=Mari+Mata HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:34:19 +0530] "GET /ServiceProvider/SearchProvider.jsp?sertype=Painter&area=Mari+Mata HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:34:21 +0530] "GET /ServiceProvider/SearchProvider.jsp?sertype=Painter&area=L.I.G HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:34:24 +0530] "GET /ServiceProvider/SearchProvider.jsp?sertype=Painter&area=Vijay+Nagar HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:34:29 +0530] "GET /ServiceProvider/SearchProvider.jsp?sertype=Painter&area=Rajendra+Nagar HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:34:34 +0530] "GET /ServiceProvider/SearchProvider.jsp?sertype=Painter&area=Vijay+Nagar HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:34:41 +0530] "GET /ServiceProvider/SearchProvider.jsp?sertype=Cook&area=Vijay+Nagar HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:34:45 +0530] "GET /ServiceProvider/SearchProvider.jsp?sertype=Cook&area=Vijay+Nagar HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:35:30 +0530] "GET /ServiceProvider/SearchProvider.jsp?sertype=Plumber&area=L.I.G HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:35:40 +0530] "GET /ServiceProvider/BookProvider.jsp?providerEmail=suresh%40gamil.com&dt=2022-09-13T01%3A39 HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:35:44 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:35:47 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=sahaj&datetime=2022-09-06T01:35 HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:35:48 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=aryan&datetime=2022-09-09T03:23 HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:35:49 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=suresh&datetime=2022-09-13T01:39 HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:41:05 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:41:05 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:41:07 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:41:09 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=sahaj&datetime=2022-09-06T01:35 HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:42:48 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:42:48 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:42:50 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:42:52 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=kratik@gmail.com&datetime=2022-09-06T01:35 HTTP/1.1" 200 1021
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:43:48 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:43:48 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:43:50 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:43:52 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=1&datetime=2022-09-06T01:35 HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:44:49 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:44:49 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:44:51 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:44:53 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=sahaj&datetime=2022-09-06T01:35 HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:45:34 +0530] "GET /ServiceProvider/serviceprovider.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:45:43 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=sahaj%40gmail.com&pwd=12345 HTTP/1.1" 500 309
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:46:03 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=sahaj%40gmail.com&pwd=1234 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:46:03 +0530] "GET /ServiceProvider/ServiceProHome.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:46:05 +0530] "GET /ServiceProvider/EditServiceproviderProfile.jsp HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:46:09 +0530] "POST /ServiceProvider/UpdateProvider.jsp HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:46:13 +0530] "GET /ServiceProvider/LogoutForProvider.jsp HTTP/1.1" 500 309
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:46:19 +0530] "GET /ServiceProvider/LogoutForProvider.jsp HTTP/1.1" 500 309
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:47:05 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:47:05 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:47:06 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:47:08 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=sahaj%20nagar&datetime=2022-09-06T01:35 HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:48:33 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:48:33 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:48:34 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 500 89
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:49:10 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:49:10 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:49:12 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:49:20 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=sahaj@gmail.com&datetime=2022-09-06T01:35 HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:49:51 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:49:51 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:49:53 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:49:55 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=kratik@gmail.com&datetime=2022-09-06T01:35 HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:50:31 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:50:31 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:50:32 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:50:34 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=sahaj@gmail.com&datetime=2022-09-06T01:35 HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:51:42 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:51:42 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:51:43 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:51:45 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=sahaj@gmail.com&datetime=2022-09-06T01:35 HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:51:49 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=sahaj@gmail.com&datetime=2022-09-06T01:35 HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:51:50 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=sahaj@gmail.com&datetime=2022-09-06T01:35 HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:54:27 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:54:33 +0530] "GET /ServiceProvider/DeleteRequest.jsp?uemail=kratik@gmail.com&providerEmail=suresh@gamil.com&datetime=2022-09-13T01:39 HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:57:50 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=kratik%40gmail.com&pwd=435234 HTTP/1.1" 500 309
0:0:0:0:0:0:0:1 - - [26/Sep/2022:23:00:36 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=kratik%40gmail.com&pwd=4562 HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [26/Sep/2022:23:00:48 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=12 HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [26/Sep/2022:23:03:52 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=54757 HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [26/Sep/2022:23:04:51 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:23:04:57 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=545665 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:23:05:09 +0530] "GET /ServiceProvider/serviceprovider.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:23:05:14 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=66 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [26/Sep/2022:23:05:57 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:23:06:02 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=16546 HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [26/Sep/2022:23:06:15 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:23:06:16 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:23:06:20 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=489 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:23:06:43 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:23:06:49 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=55 HTTP/1.1" 302 -
