127.0.0.1 - - [28/Sep/2022:17:48:14 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:45:30 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=bhjscs HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:46:44 +0530] "GET /ServiceProvider/serviceprovider.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:46:44 +0530] "GET /ServiceProvider/serviceprovider.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:46:45 +0530] "GET /ServiceProvider/serviceprovider.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:46:50 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:46:50 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:46:58 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=45785 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:51:07 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:51:08 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:51:08 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:51:16 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=gdfdg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:51:24 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=5555 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:51:37 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=kratik%40gmail.com&pwd=5555 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:52:09 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:52:09 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:52:09 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:52:10 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:52:15 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=5555 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:52:22 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=hdsfbh HTTP/1.1" 302 -
